the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.059070365526 29.989534644461),113742,ELYSIAN 167,3032 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70112,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ELYSIAN FIELDS OPERATIONS NO. 2, LLC",3684214.01589,543927.469326
POINT (-90.12124494875 29.972162495142),113703,A AND J FOOD MART,9201 AIRLINE HWY,1ST FLR,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,STERLING EXPRESS #2,3664599.69933,537396.732424
POINT (-90.094553917891 29.943012487539),113790,SUPER DISCOUNT GAS,2727 S CLAIBORNE AVE,UNIT C,NEW ORLEANS,LA,70125,504-363-0054,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"SUPER DISCOUNT GAS, INC",3673164.73307,526887.061438
POINT (-90.084168083775 29.970220293931),113775,OTTALLAH 4,617 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OTTALLAH 4,INC",3676346.00501,536816.5458
POINT (-90.050629259309 29.96932634313),113746,FRANKLIN AVE SHELL,1100 FRANKLIN AVE,,NEW ORLEANS,LA,70117,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FRANKLIN AVE SHELL, INC",3686968.27132,536608.788167
POINT (-89.977914531494 30.015757924368),113718,CHEF MENTEUR SHELL,9232 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-982-6291,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,WYNVIA FOUR INC,3709790.62475,553757.983319
POINT (-89.980283519434 30.042458433242),113783,READ SHELL,7358 READ BLVD,,NEW ORLEANS,LA,70128,504-908-5876,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"NKHAN, INC.",3708926.28388,563458.43184
POINT (-90.107017878583 29.979321250404),113714,CANAL SHELL,4701 CANAL ST,,NEW ORLEANS,LA,70119,504-895-0696,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DIAZ II, INC",3669076.16142,540047.863115
POINT (-90.056793456953 29.973799538531),113765,MAGNOLIA DISCOUNT,1601 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,504-453-3542,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,RICKS ELYSIAN FIELDS LLC,3684998.50652,538213.613129
POINT (-90.090071243521 29.975255460943),113756,IDEAL DISCOUNT MARKET,3340 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ORLEANS AVENUE MARKET,LLC",3674457.15336,538627.199113
POINT (-90.049751171858 29.993801843304),113763,LT INVESTMENTS LLC,3400 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LT INVESTMENTS LLC,3687146.58089,545512.110672
POINT (-90.032376124938 30.004970349265),113706,BIG EASY TRAVEL PLAZA,5000 OLD GENTILLY RD,STE:B,NEW ORLEANS,LA,70126,504-943-5000,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MALONEY SEPT LLC.,3692600.21705,549635.427987
POINT (-90.103081578882 30.004013750499),113762,LAKEVIEW DISCOUNT,932 HARRISON AVE,,NEW ORLEANS,LA,70124,504-895-2001,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LAKEVIEW DISCOUNT INC,3670225.90574,549040.399251
POINT (-89.962830923536 30.04754858671),113713,BULLARD CHEVRON,7020 BULLARD AVE,,NEW ORLEANS,LA,70128,504-941-5148,"1142 - GASOLINE STATIONS, OTHER",TWO BROTHERS VENTURES LLC,3714425.70533,565375.02621
POINT (-90.037161039214 29.94512400381),113710,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,NEWTON BROTHERS INC,3691331.988,527855.937343
POINT (-90.067465507926 29.941721274165),113792,THE WARE HOUSE GAS COMPANY,1011 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,504-565-5462,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"THE WARE HOUSE GAS COMPANY, LLC",3681748.65084,526511.28915
POINT (-90.021204489649 30.010279161891),113752,GASCO,5855 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,"1142 - GASOLINE STATIONS, OTHER","5855 CHEF MENTEUR HWY,LLC",3696113.88253,551606.230293
POINT (-90.073235925465 29.989444049045),113778,PARIS AVENUE SUPERETTE,2025 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"PARIS AVENUE SUPERETTE, INC.",3679730.33141,543844.936142
POINT (-90.079294138276 29.956926728239),113780,QUICK TRIP DISCOUNT,1635 TULANE AVE,,NEW ORLEANS,LA,70112,504-382-5335,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,QUICK TRIP DISCOUNT LLC,3677942.03771,531999.361283
POINT (-90.100796563594 29.940122359249),113749,FUEL N MART,4140 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-891-1852,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"TWO GUYS WITH GAS, INC",3671199.02747,525814.783357
POINT (-90.099351998937 29.965119915229),113711,BROWN DERBY SUPERSTORE,3402 TULANE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,BROWN DERBY SUPERSTORE INC,3671558.63348,534909.761926
POINT (-90.058828593718 30.00028357776),113779,PETRO SAVE,3201 GENTILLY BLVD,,NEW ORLEANS,LA,70127,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"PETRO SAVE, LLC",3684247.07145,547837.04661
POINT (-90.009551503804 30.011552259434),113791,TEX MART,6733 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-333-6282,1101 - CONVENIENCE STORES,TEX MART INC,3699796.45104,552111.595542
POINT (-89.928424162792 30.031405823654),113704,BIG CAT FUEL,13245 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-0113,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GIOE ENTERPRISES INC,3725382.52352,559636.758045
POINT (-90.011466385707 30.037513036258),113750,FUEL N MART,7220 HAYNE BLVD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES,ANZ LLLC,3699081.53405,561544.937055
POINT (-90.082290954478 29.926457491658),113764,MAGAZINE SPUR,2727 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-895-2001,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"AL-MONA, INC",3677114.0669,520909.258425
POINT (-90.109986602005 29.965227078608),113720,CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3668191.0434,534912.625286
POINT (-90.093872548237 29.92132042023),113757,JETGO,3720 MAGAZINE ST,,NEW ORLEANS,LA,70115,504-269-0246,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"AL-MALIK, INC",3673465.84385,519001.366455
POINT (-90.031970825639 29.92878466452),113789,STORE #142,2601 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-5639,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2601 GEN DEGAULLE LLC,3693043.13405,521933.018682
POINT (-89.94498321058 30.012111544861),113776,PALACE TRUCK STOP,12170 OLD GENTILLY RD,,NEW ORLEANS,LA,70129,504-241-0409,"1142 - GASOLINE STATIONS, OTHER",AMID TRAVEL PLAZA INC,3720228.10841,552556.804182
POINT (-90.018812626966 29.93864255848),113709,BROTHER TEXACO,3501 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,504-361-3920,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MEHMOOD INC,3697169.70141,525565.256701
POINT (-90.018529134678 29.92403131143),113708,BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,"EXXON GENERAL DEGAULLE, LLC",3697320.45155,520253.142776
POINT (-90.072566331904 29.99001377818),113755,GENTILLY SHELL,2035 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OTTALLAH, INC",3679940.00904,544054.443406
POINT (-90.08288634294 29.971298506486),113774,ORLEANS CENTER MARKET,2707 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES,ORLEANS CENTER MARKET LLC,3676747.53512,537213.051272
POINT (-90.096510214866 29.940894853892),113728,DELTA FUEL PLUS,3300 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-895-1126,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,DELTA FUEL MANAGEMENT LLC,3672553.49697,526110.318398
POINT (-90.105547634135 30.019210945965),113753,GAUCHETS ROCKERY SERVICE,722 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GAUCHET DANNY L JR/STANL,3669386.1819,554558.352216
POINT (-90.016031973153 30.02675130464),113748,FUEL EXPRESS MART,6500 I 10 E SERVICE RD,,NEW ORLEANS,LA,70126,504-376-7699,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"M G EXPRESS, LLC",3697682.0097,557614.914971
POINT (-90.12124494875 29.972162495142),113787,STERLING XPRESS #2,9201 AIRLINE HWY,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,JENAHNMOODY LLC,3664599.69933,537396.732424
POINT (-89.954858808666 30.039402348485),113712,BULLARD CHEVRON,5701 BULLARD AVE,,NEW ORLEANS,LA,70128,504-279-6013,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BULLARD CHEVRON, INC",3716983.38597,562443.001631
POINT (-90.12824584753 29.949012760981),113736,DISCOUNT ZONE,1400 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-480-8300,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"CARROLLTON DISCOUNT ZONE, LLC",3662471.73075,528955.204864
POINT (-90.068123343535 29.969331868637),113737,DISCOUNT ZONE,1533 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-236-8095,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,SPUR DISCOUNT STORE #3  INC,3681429.45404,536549.216455
POINT (-89.927411706044 30.031851359283),113716,CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES,"TRAN FAMILY VENTURES, LLC",3725700.88537,559802.700125
POINT (-90.084168083775 29.970220293931),113771,MHM DISCOUNT,617 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"MHM DISCOUNT,LLC",3676346.00501,536816.5458
POINT (-89.9745493934 30.03573826052),113760,LAKE FOREST SPUR,5901 READ BLVD,,NEW ORLEANS,LA,70127,504-248-8885,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HINGEL PETROLEUM,LLC",3710769.39621,561036.189342
POINT (-90.076631346373 29.929844517036),113796,YOUSUF SHELL SELF SERVE,2135 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-669-7866,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"YOUSUF, MUNIBUDDIN",3678893.21858,522160.51865
POINT (-90.113164348953 29.9456816047),113795,UNIVERSITY SHELL,6201 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,LA GUARDIA AND MCADAMS ENTERPRISES INC,3667260.57735,527794.413183
POINT (-90.065136844563 29.964470800225),113768,MANNINO'S P & M TEXACO SERVICE,1139 N RAMPART ST,,NEW ORLEANS,LA,70116,504-522-5255,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MANNINO'S P & M TEXACO  SER INC,3682394.57314,534792.003718
POINT (-90.09218830281 29.927597472845),113739,"DISCOUNT ZONE, INC",3434 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-258-1222,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FAST TRUCK, INC",3673974.62644,521289.704697
POINT (-90.018374924861 29.967454849947),113747,FUEL EXPRESS MART,5201 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-376-7699,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GHAZOOL LLC,3697188.08848,536044.001735
POINT (-90.029849711174 29.968922932795),113759,KEY'S FUEL MART 3,4401 N ROBERTSON ST,,NEW ORLEANS,LA,70117,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"4401 FUEL MART,INC",3693548.93232,536536.338375
POINT (-90.082387696022 29.96270513383),113705,BIG EASY,2201 CANAL ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,THUMBS UP RACE ONE LLC,3676939.52411,534089.898885
POINT (-90.118274623597 30.005999420975),113745,FLEUR DE LIS CAR CARE CENTER,247 W HARRISON AVE,,NEW ORLEANS,LA,70124,,"1142 - GASOLINE STATIONS, OTHER","BERGERON, C RAY         BERGERON, C RAY",3665409.63412,549711.161108
POINT (-90.069067961704 29.96942363565),113723,CLAIBORNE EXPRESS,1249 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-220-0005,"1142 - GASOLINE STATIONS, OTHER","MUNTHER, LLC",3681130.01032,536579.285319
POINT (-90.097394809839 29.965075079777),113794,TULANE SHELL,3321 TULANE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,OTTALLAH 2 INC,3672178.50267,534900.137158
POINT (-90.007042985288 29.916733849053),113788,STORE #140,4662 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-366-2413,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,4662 GDD LLC,3700989.42602,517641.475382
POINT (-90.104650882299 29.956681551615),113726,DAVIS STORE 153,1308 S JEFFERSON DAVIS PKWY,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,1308 JEFFERSON DAVIS LLC,3669913.78234,531823.220355
POINT (-90.024523587109 29.926890924683),113766,MAGNOLIA DISCOUNT,3054 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-453-0466,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,RICKS GENERAL DEGAULLE LLC,3695409.81814,521271.256953
POINT (-90.061834922165 30.023425087106),113743,ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES,"M & S  OIL SERVICES, L.L.C.",3683202.15394,556241.64425
POINT (-90.088988419458 29.983087134974),113721,CITY PARK SHELL,3494 ESPLANADE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,OTTALLAH 3 INC,3674769.03925,541478.8203
POINT (-90.02147218228 30.018821694663),113734,DISCOUNT EAST,4901 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-244-7301,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT EAST, LLC",3695993.59856,554711.652248
POINT (-90.002751713951 29.931509200122),113786,SPUR GENERAL MEYER,4901 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,504-393-9939,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,SPUR GENERAL MEYER LLC,3702286.40177,523030.039547
POINT (-90.058166614581 29.990470398866),113741,ELYSIAN 166,3101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ELYSIAN FIELDS OPERATIONS NO.1, LLC",3684496.30735,544270.927951
POINT (-90.076989294557 29.951922709288),113729,DIAMOND DISCOUNT,15200 CHEF MENTEUR,,NEW ORLEANS,LA,70129,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,DIAMOND DISCOUNT LLC,3678691.8167,530187.70942
POINT (-90.100217704488 29.940832037626),113722,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,SOUTH CLAIBORNE OPERATIONS,3671379.5771,526074.821438
POINT (-90.010462442348 30.011375732797),113738,DISCOUNT ZONE,6711 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"NOLA FUEL ONE, LLC",3699508.90359,552044.074326
POINT (-90.089421236376 29.945059915894),113701,2150 CLAIBORNE SHELL,2150 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-606-3076,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"2150 CLAIBORNE SHELL, LLC",3674782.14069,527649.191615
POINT (-90.076989294557 29.951922709288),113732,DISCOUNT BROAD CENTER,3303 S BROAD STREET,,NEW ORLEANS,LA,70125,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT BROAD CENTER, LLC",3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),113744,EMPIRE EXPRESS,4301 LOUISA DRIVE,A,NEW ORLEANS,LA,70126,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"EMPIRE EXPRESS, LLC",3678691.8167,530187.70942
POINT (-90.070152779133 29.958890691092),113782,RAMPART FUEL,447 N RAMPART ST,,NEW ORLEANS,LA,70112,504-247-2361,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"RAMPART FUEL, LLC.",3680828.77077,532745.325636
POINT (-90.052072365002 30.022206279518),113784,ROGERS CHEVRON SERVICE,6132 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,"1142 - GASOLINE STATIONS, OTHER","SIGSWORTH, ROGER",3686296.35254,555832.849113
POINT (-90.017773670882 30.008998044946),113731,DISCOUNT -N- OUT,6050 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-248-5772,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DISCOUNT -N- OUT, LLC",3697205.01143,551152.817493
POINT (-90.078837022452 29.975757317365),113707,BIRDIES ON BROAD,1233 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BIRDIES ON BROAD,LLC",3678011.8148,538848.458121
POINT (-90.071366615441 29.983457420454),113793,TRIANGLE DELI,1904 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HALO III, LLC",3680346.03035,541674.479756
POINT (-90.073182612543 29.943511889095),113719,CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3679930.89691,527142.464447
POINT (-89.932397943694 30.028566069052),113735,DISCOUNT ZONE,12930 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-780-8300,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,510 DISCOUNT ZONE LLC,3724137.81107,558588.727004
POINT (-90.041997317751 30.002939361841),113754,GENTILLY CHEVRON,4046 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-279-6013,"1142 - GASOLINE STATIONS, OTHER","GENTILLY CHEVRON, INC.",3689563.47318,548862.437843
POINT (-89.944503007404 29.983321212297),113777,PARADISE TRUCK STOP,2101 PARIS RD,,NEW ORLEANS,LA,70129,504-279-8785,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FISHERMAN'S PARADISE HARBOR MARINA, INC",3720506.97215,542089.488588
POINT (-90.018390520251 29.912674264183),113772,MURPHY USA #7138,3921 BEHRMAN HWY,,NEW ORLEANS,LA,70131,504-368-8385,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"MURPHY OIL USA,INC",3697411.75063,516123.84722
POINT (-89.963340880637 30.019316778143),113727,DAY & NIGHT DISCOUNT #2,10422 CHEF MENTEUR HWY,B,NEW ORLEANS,LA,70127,504-248-7340,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DAY & NICHT, LLC",3714387.12146,555106.960281
POINT (-90.057488226263 29.982677189341),113769,MARDI GRAS TRUCK STOP,2411 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,504-945-1000,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MALONEY CINQUE LTD,3684742.60073,541439.410892
POINT (-90.02063449333 30.010602017097),113740,DOWNMAN SHELL,3901 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-982-6291,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"WYNVINA SIX, INC",3696292.92906,551725.698581
POINT (-90.11220394107 29.96310603353),113767,MAGNOLIA DISCOUNT,3415 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,THUMBS UP RACE TWO LLC,3667497.20007,534133.842373
POINT (-90.007897834289 29.917512281679),113702,4600 DE GAULLE LLC,4600 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,(504)428-4146,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,4600 GEN GAULLE LLC,3700715.35709,517921.405942
POINT (-90.027092734627 30.032274434875),113785,SPEED RACER,8020 DOWNMAN RD,104,NEW ORLEANS,LA,70126,504-248-2005,1101 - CONVENIENCE STORES,COMPAK DELI INC,3694159.19933,559583.275165
POINT (-90.011817501974 30.011252200005),113717,CHEF EXPRESS,6601 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,CHEF EXPRESS.LLC,3699080.57975,551994.204438
POINT (-90.075060074694 30.020829777674),113761,LAKE TERRACE CROSSING,1600 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70122,504-565-3722,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"SALJER,LLC",3679027.57403,555251.686873
